stock.id,species,stock,region,sub.region,jurisdiction,lat,lon,source.id,comment,ts.length,ts.start,ts.end
352,Chum,Kwiniuk Inlet,AYK,AYK,AK,64.72,-161.96,"16, 21",Sum of Kwiniuk and Tubutulik Rivers,31,1965,1995
353,Chum,Kotzebue,AYK,AYK,AK,66.46,-161.91,"16, 22",,36,1962,1997
201,Pink,Puyallup,Inside WA,Inside WA,WA,47.26972,-122.4272,1,,25,1959,2007
202,Pink,Hood Canal,Inside WA,Inside WA,WA,47.5644,-122.9956,1,"Sum of Dosewallips, Duckabush, and Hamma Hamma",25,1959,2007
203,Pink,Snohomish,Inside WA,Inside WA,WA,48.02139,-122.2072,1,,25,1959,2007
204,Pink,Dungeness,Inside WA,Inside WA,WA,48.1508,-123.1333,1,,25,1959,2007
205,Pink,Stillaguamish,Inside WA,Inside WA,WA,48.23861,-122.3758,1,,25,1959,2007
206,Pink,Skagit,Inside WA,Inside WA,WA,48.3875,-122.3656,1,,25,1959,2007
207,Pink,Nooksack,Inside WA,Inside WA,WA,48.775,-122.5978,1,,25,1959,2007
208,Pink,Fraser,Fraser River,BC South,BC,49.12333,-123.0569,2,,21,1961,2001
209,Pink,BC South (no Fraser)_odd,BC South,BC South,BC,50.28778,-125.2008,3,Statistical Areas 11-16,28,1953,2007
221,Pink,S SEAK_odd,SEAK,SEAK,AK,55.71556,-131.8714,"5, 6",Districts 101-108,24,1961,2007
222,Pink,N SEAK Outside_odd,SEAK,SEAK,AK,57.17694,-135.7869,"5, 6","Districts 109-112, 114, 115",24,1961,2007
223,Pink,N SEAK Inside_odd,SEAK,SEAK,AK,57.57528,-134.7503,"5, 6",District 113,24,1961,2007
226,Pink,PWS_odd,PWS,PWS,AK,60.5,-147,8,,25,1961,2009
235,Pink,Chignik Bay_odd,Chignik,Chignik,AK,56.38528,-158.2261,"11, 12",,21,1963,2009
236,Pink,Central Chig_odd,Chignik,Chignik,AK,56.59639,-157.9933,"11, 12",,24,1963,2009
237,Pink,E Chig_odd,Chignik,Chignik,AK,56.98528,-156.5806,"11, 12",,24,1963,2009
238,Pink,W Chig_odd,Chignik,Chignik,AK,56.06667,-158.6756,"11, 12",,24,1963,2009
239,Pink,Perryville_odd,Chignik,Chignik,AK,55.85417,-159.3314,"11, 12",,24,1963,2009
240,Pink,SE-SC AKPen_odd,AK Peninsula,AK Peninsula,AK,55.5,-161,10,Sum of Southeastern and Southcentral Districts,24,1963,2009
241,Pink,SW-Unimak_odd,AK Peninsula,AK Peninsula,AK,54.5,-163.5,10,Sum of Southwestern and Unimak Districts,24,1963,2009
242,Pink,NW AKPen_odd,AK Peninsula,AK Peninsula,AK,54.982,-163.37,10,,24,1963,2009
243,Pink,Nushagak,Bristol Bay,Bristol Bay,AK,58.62222,-158.5911,13,,23,1958,2002
245,Pink,Nome_odd,AYK,AYK,AK,64.4828,-165.305,"14, 15",,20,1971,2009
246,Pink,Moses-Norton_odd,AYK,AYK,AK,65.748,-161.78,"14, 15",Sum of Moses Point and Norton Bay Subdistricts,24,1963,2009
247,Pink,BC South (no Fraser)_even,BC South,BC South,BC,50.28778,-125.2008,3,Statistical Areas 11-16,28,1954,2008
257,Pink,S SEAK_even,SEAK,SEAK,AK,55.71556,-131.8714,"5, 6",Districts 101-108,25,1960,2008
258,Pink,N SEAK Outside_even,SEAK,SEAK,AK,57.17694,-135.7869,"5, 6","Districts 109-112, 114, 115",25,1960,2008
259,Pink,N SEAK Inside_even,SEAK,SEAK,AK,57.57528,-134.7503,"5, 6",District 113,25,1960,2008
262,Pink,PWS_even,PWS,PWS,AK,60.5,-147,8,,25,1960,2008
271,Pink,Chignik Bay_even,Chignik,Chignik,AK,56.38528,-158.2261,"11, 12",,22,1962,2008
272,Pink,Central Chig_even,Chignik,Chignik,AK,56.59639,-157.9933,"11, 12",,24,1962,2008
273,Pink,E Chig_even,Chignik,Chignik,AK,56.98528,-156.5806,"11, 12",,24,1962,2008
274,Pink,W Chig_even,Chignik,Chignik,AK,56.06667,-158.6756,"11, 12",,24,1962,2008
275,Pink,Perryville_even,Chignik,Chignik,AK,55.85417,-159.3314,"11, 12",,24,1962,2008
276,Pink,SE-SC AKPen_even,AK Peninsula,AK Peninsula,AK,55.5,-161,10,Sum of Southeastern and Southcentral Districts,24,1962,2008
277,Pink,SW-Unimak_even,AK Peninsula,AK Peninsula,AK,54.5,-163.5,10,Sum of Southwestern and Unimak Districts,24,1962,2008
278,Pink,NW AKPen_even,AK Peninsula,AK Peninsula,AK,54.982,-163.37,10,,23,1962,2008
281,Pink,Moses-Norton_even,AYK,AYK,AK,65.748,-161.78,"14, 15",Sum of Moses Point and Norton Bay Subdistricts,23,1964,2008
